955160004343246849	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.inject.guice.GuiceApplicationBuilder.build(GuiceApplicationBuilder.scala:123) 
955160004343246851	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.inject.guice.GuiceApplicationLoader.load(GuiceApplicationLoader.scala:21) 
955160004343246853	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.core.server.ProdServerStart$.start(ProdServerStart.scala:47) 
955160004343246875	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.core.server.ProdServerStart$.main(ProdServerStart.scala:22) 
955160004343246879	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.core.server.ProdServerStart.main(ProdServerStart.scala) 
955160011238682626	2018-07-15T14:31:54	2018-07-15T14:31:55Z	1058480271	api-ciudades-seguras-pdn	54.167.136.171	Syslog	Notice	heroku/web.1	Starting process with command `target/universal/stage/bin/ciudades_seguras -Dhttp.port=${PORT} -Dconfig.resource=production.conf` 
955160024014528512	2018-07-15T14:31:57	2018-07-15T14:31:58Z	1058480271	api-ciudades-seguras-pdn	54.163.41.170	Local7	Info	app/web.1	Setting JAVA_TOOL_OPTIONS defaults based on dyno size. Custom settings will override them. 
955160024236826634	2018-07-15T14:31:57	2018-07-15T14:31:58Z	1058480271	api-ciudades-seguras-pdn	54.163.41.170	Local7	Info	app/web.1	Picked up JAVA_TOOL_OPTIONS: -Xmx350m -Xss512k -Dfile.encoding=UTF-8  
955160037637640192	2018-07-15T14:32:01	2018-07-15T14:32:01Z	1058480271	api-ciudades-seguras-pdn	54.80.151.226	Local7	Info	app/web.1	SLF4J: Class path contains multiple SLF4J bindings. 
955160037943824423	2018-07-15T14:32:01	2018-07-15T14:32:01Z	1058480271	api-ciudades-seguras-pdn	54.80.151.226	Local7	Info	app/web.1	SLF4J: Found binding in [jar:file:/app/target/universal/stage/lib/ch.qos.logback.logback-classic-1.1.7.jar!/org/slf4j/impl/StaticLoggerBinder.class] 
955160037948018713	2018-07-15T14:32:01	2018-07-15T14:32:01Z	1058480271	api-ciudades-seguras-pdn	54.80.151.226	Local7	Info	app/web.1	SLF4J: Found binding in [jar:file:/app/target/universal/stage/lib/org.slf4j.slf4j-nop-1.6.4.jar!/org/slf4j/impl/StaticLoggerBinder.class] 
955160037948018718	2018-07-15T14:32:01	2018-07-15T14:32:01Z	1058480271	api-ciudades-seguras-pdn	54.80.151.226	Local7	Info	app/web.1	SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation. 
955160037948018722	2018-07-15T14:32:01	2018-07-15T14:32:01Z	1058480271	api-ciudades-seguras-pdn	54.80.151.226	Local7	Info	app/web.1	SLF4J: Actual binding is of type [ch.qos.logback.classic.util.ContextSelectorStaticBinder] 
955160051474649164	2018-07-15T14:32:04	2018-07-15T14:32:04Z	1058480271	api-ciudades-seguras-pdn	54.197.95.76	Local7	Info	app/web.1	[[33mwarn[0m] s.b.DatabaseConfig - Use `profile` instead of `driver`. The latter is deprecated since Slick 3.2 and will be removed. 
955160072534233107	2018-07-15T14:32:09	2018-07-15T14:32:09Z	1058480271	api-ciudades-seguras-pdn	54.221.158.91	Local7	Info	app/web.1	Oops, cannot start the server. 
955160072542621708	2018-07-15T14:32:09	2018-07-15T14:32:09Z	1058480271	api-ciudades-seguras-pdn	54.221.158.91	Local7	Info	app/web.1	java.sql.SQLTransientConnectionException: db - Connection is not available, request timed out after 1011ms. 
955160072542621709	2018-07-15T14:32:09	2018-07-15T14:32:09Z	1058480271	api-ciudades-seguras-pdn	54.221.158.91	Local7	Info	app/web.1	\tat com.zaxxer.hikari.pool.HikariPool.createTimeoutException(HikariPool.java:548) 
955160072542621712	2018-07-15T14:32:09	2018-07-15T14:32:09Z	1058480271	api-ciudades-seguras-pdn	54.221.158.91	Local7	Info	app/web.1	\tat com.zaxxer.hikari.pool.HikariPool.getConnection(HikariPool.java:186) 
955160072542621714	2018-07-15T14:32:09	2018-07-15T14:32:09Z	1058480271	api-ciudades-seguras-pdn	54.221.158.91	Local7	Info	app/web.1	\tat com.zaxxer.hikari.pool.HikariPool.getConnection(HikariPool.java:145) 
955160072542621715	2018-07-15T14:32:09	2018-07-15T14:32:09Z	1058480271	api-ciudades-seguras-pdn	54.221.158.91	Local7	Info	app/web.1	\tat com.zaxxer.hikari.HikariDataSource.getConnection(HikariDataSource.java:83) 
955160072542621716	2018-07-15T14:32:09	2018-07-15T14:32:09Z	1058480271	api-ciudades-seguras-pdn	54.221.158.91	Local7	Info	app/web.1	\tat slick.jdbc.hikaricp.HikariCPJdbcDataSource.createConnection(HikariCPJdbcDataSource.scala:18) 
955160072542621717	2018-07-15T14:32:09	2018-07-15T14:32:09Z	1058480271	api-ciudades-seguras-pdn	54.221.158.91	Local7	Info	app/web.1	\tat play.api.db.slick.evolutions.internal.DBApiAdapter$DatabaseAdapter.getConnection(DBApiAdapter.scala:57) 
